iter	MultiClass
0	1.082780341
1	1.068933632
2	1.056139184
3	1.043405646
4	1.032375077
5	1.020495906
6	1.010775588
7	1.001681036
8	0.9921383711
9	0.9828865318
10	0.974255133
11	0.9653645541
12	0.9577253839
13	0.9499467854
14	0.9421817223
15	0.9356206937
16	0.9292814345
17	0.9216376898
18	0.9154411175
19	0.9094233268
20	0.9028522092
21	0.8958712662
22	0.8899377592
23	0.8839585698
24	0.878337445
25	0.8718561881
26	0.8673785012
27	0.8616241518
28	0.8562578832
29	0.8512085713
30	0.8458584075
31	0.8412563943
32	0.836451223
33	0.8314091802
34	0.8269540524
35	0.822219504
36	0.8184550636
37	0.8141933809
38	0.8098053668
39	0.8067413894
40	0.8025732021
41	0.7984397309
42	0.7949536459
43	0.7908969386
44	0.7872921671
45	0.7837262477
46	0.7800182679
47	0.7762621619
48	0.7729398191
49	0.768830223
50	0.765774956
51	0.7622987093
52	0.7588997906
53	0.7548816219
54	0.7521563458
55	0.7496692571
56	0.7471064699
57	0.743356693
58	0.7408165902
59	0.7377430879
60	0.7340299696
61	0.7304851681
62	0.7273319566
63	0.7237603973
64	0.7202924223
65	0.7171166516
66	0.7141743685
67	0.710929479
68	0.7079754777
69	0.7054791774
70	0.702546858
71	0.6991481899
72	0.6968861919
73	0.6943326789
74	0.6915862849
75	0.6882851227
76	0.6857022201
77	0.6823197821
78	0.679117379
79	0.6762547424
80	0.6731866292
81	0.6707852029
82	0.6678636617
83	0.6651956609
84	0.6625281614
85	0.659940183
86	0.6563103458
87	0.6538327196
88	0.6513020792
89	0.6486748729
90	0.6463611767
91	0.643512201
92	0.640924348
93	0.6389951608
94	0.6361523889
95	0.6335444832
96	0.6314629588
97	0.6288621969
98	0.6271229456
99	0.6243475379
100	0.621506082
101	0.6188747398
102	0.6167367547
103	0.6146742803
104	0.6121673271
105	0.6095279639
106	0.6076900161
107	0.6053300109
108	0.60296399
109	0.6002854616
110	0.5986308072
111	0.5961555622
112	0.5939311629
113	0.592339925
114	0.5895843819
115	0.5875293019
116	0.5849209576
117	0.5826696126
118	0.5804326177
119	0.5778650679
120	0.5761241874
121	0.5732541564
122	0.5711980111
123	0.5695187923
124	0.5671305255
125	0.5651844816
126	0.5630671131
127	0.5607015308
128	0.5585742614
129	0.5571577946
130	0.5547188949
131	0.5531054111
132	0.5508228592
133	0.5494118442
134	0.5474518261
135	0.5457849522
136	0.544091446
137	0.5421309266
138	0.5399934428
139	0.5379888076
140	0.5365788579
141	0.5341081247
142	0.5318898038
143	0.5303290835
144	0.5276381475
145	0.5253161483
146	0.5237516368
147	0.5221699865
148	0.5206942705
149	0.5186230544
150	0.517389881
151	0.5159686831
152	0.5139816879
153	0.5121777043
154	0.5104418682
155	0.5087466387
156	0.5071830985
157	0.5056175843
158	0.5039743349
159	0.5019085706
160	0.499981702
161	0.498085069
162	0.496243706
163	0.4946943906
164	0.4925981714
165	0.4907447141
166	0.488814117
167	0.4874959393
168	0.485656425
169	0.4839855719
170	0.4822884311
171	0.4805228294
172	0.4788725616
173	0.4774381101
174	0.4753629461
175	0.4738923686
176	0.4725636006
177	0.4709861489
178	0.4696534018
179	0.4680833758
180	0.4663539628
181	0.4651263666
182	0.4637396654
183	0.4619159738
184	0.460451788
185	0.4588627747
186	0.457413973
187	0.4560399927
188	0.4547280188
189	0.4536276001
190	0.4523931734
191	0.4509583773
192	0.4488696778
193	0.4474899323
194	0.4457367695
195	0.4442954563
196	0.4428985408
197	0.4417100158
198	0.4403665531
199	0.4388869205
200	0.4376401177
201	0.4361069384
202	0.4344935799
203	0.4330104381
204	0.4315887702
205	0.4305185244
206	0.4291671972
207	0.4278921327
208	0.4263611153
209	0.4250205038
210	0.4238450444
211	0.4226614699
212	0.421126066
213	0.4199731345
214	0.4187299035
215	0.4171848806
216	0.4155715222
217	0.4142869013
218	0.413213021
219	0.4120103025
220	0.4108260388
221	0.4094920697
222	0.4078535515
223	0.406372509
224	0.4049326057
225	0.4036013311
226	0.402345066
227	0.4007196759
228	0.3995344722
229	0.3984291343
230	0.3976059743
231	0.3961424152
232	0.3949479998
233	0.3937060534
234	0.3920436601
235	0.3910368933
236	0.3896939005
237	0.3885491467
238	0.3871099014
239	0.3859078096
240	0.3847235772
241	0.3837960183
242	0.382990467
243	0.381775717
244	0.3805269715
245	0.3791418369
246	0.3778254452
247	0.3765339626
248	0.3755082085
249	0.3747680163
250	0.3735611933
251	0.3724252752
252	0.371262474
253	0.3700701265
254	0.3684173521
255	0.3675865471
256	0.3666234575
257	0.3654256268
258	0.364178542
259	0.3631547305
260	0.3624105277
261	0.3612435593
262	0.3601923948
263	0.3589844126
264	0.3577007004
265	0.3564078392
266	0.3551412657
267	0.3539183066
268	0.3523404163
269	0.3513290123
270	0.3503953123
271	0.349291541
272	0.3484337589
273	0.3470933981
274	0.3461482931
275	0.3450704022
276	0.3439215125
277	0.3429341718
278	0.3415197729
279	0.3405313041
280	0.3393745814
281	0.3379867209
282	0.3369210183
283	0.3357381331
284	0.3347084938
285	0.3338130818
286	0.3331165353
287	0.332415665
288	0.3309602522
289	0.3300435656
290	0.3288328574
291	0.3277088455
292	0.3268004619
293	0.3257936012
294	0.3248134981
295	0.3238175096
296	0.32281679
297	0.3217429723
298	0.3205811424
299	0.3197684787
300	0.3190204848
301	0.31784537
302	0.3169122653
303	0.3157759711
304	0.3147834292
305	0.3136526496
306	0.3124254293
307	0.3116444112
308	0.3108526148
309	0.310024943
310	0.3093665278
311	0.3082584953
312	0.3072422662
313	0.3059499376
314	0.3051279683
315	0.3040621716
316	0.30364044
317	0.3030669665
318	0.3020268936
319	0.3013202894
320	0.3002148889
321	0.2993295031
322	0.2986489674
323	0.2979212767
324	0.2971738467
325	0.2963166912
326	0.2954912127
327	0.2945775653
328	0.2935791642
329	0.2929923745
330	0.2921212449
331	0.291219911
332	0.2899409613
333	0.2890997227
334	0.2878728158
335	0.2869240449
336	0.2861388283
337	0.285371753
338	0.2841650554
339	0.2834306909
340	0.2825484697
341	0.2818639234
342	0.2811817271
343	0.2802934901
344	0.279398924
345	0.2787075474
346	0.2780049537
347	0.2773183396
348	0.2764345518
349	0.2756807613
350	0.2749210491
351	0.2741760943
352	0.2735557791
353	0.2725243226
354	0.2718619595
355	0.2711451098
356	0.2702577814
357	0.2696801407
358	0.2688501503
359	0.2680453823
360	0.2670105106
361	0.2663288782
362	0.2654578113
363	0.2646970024
364	0.263962826
365	0.2630093866
366	0.2623804551
367	0.2615755304
368	0.2607220096
369	0.2600116299
370	0.2591277794
371	0.2584622205
372	0.2576692491
373	0.256932989
374	0.2563936676
375	0.2554355128
376	0.2546004779
377	0.25381335
378	0.2532230667
379	0.2524838301
380	0.2517821294
381	0.2513242561
382	0.2507892115
383	0.2499297532
384	0.2491940257
385	0.248495051
386	0.2478079199
387	0.2472935075
388	0.2467499719
389	0.2460115656
390	0.2453067787
391	0.2446733667
392	0.2441063162
393	0.2431931701
394	0.242233527
395	0.2415732319
396	0.2407950337
397	0.2400749254
398	0.2395494998
399	0.2389985854
400	0.2384887319
401	0.2379924766
402	0.2372964628
403	0.2365732683
404	0.2358424287
405	0.2351755381
406	0.2344501503
407	0.2334982619
408	0.2330431458
409	0.2323659783
410	0.2317748647
411	0.2311789417
412	0.2306495995
413	0.2300901785
414	0.2295232064
415	0.2288727809
416	0.2281787567
417	0.2276276543
418	0.2268267716
419	0.2262773298
420	0.2256424765
421	0.2250222553
422	0.224375762
423	0.2238769531
424	0.2231695187
425	0.222776691
426	0.2222325131
427	0.221553356
428	0.2209071761
429	0.2200670497
430	0.2194553352
431	0.2188785874
432	0.2180173901
433	0.2174062709
434	0.2167416833
435	0.2160566514
436	0.2155063794
437	0.2150329809
438	0.2144456272
439	0.2139540874
440	0.2134543386
441	0.2127691187
442	0.2120386707
443	0.2114656202
444	0.2110185251
445	0.210422414
446	0.2098718287
447	0.2093708422
448	0.2089881349
449	0.2084736286
450	0.2078598461
451	0.2075389102
452	0.2069728937
453	0.2063618685
454	0.2056092374
455	0.2051849209
456	0.204825415
457	0.2042030162
458	0.2036394593
459	0.2030931038
460	0.2026789702
461	0.2021404948
462	0.2014846332
463	0.2011075813
464	0.2006886226
465	0.2000765007
466	0.1994752042
467	0.1987686784
468	0.1981859775
469	0.1977175609
470	0.1972348254
471	0.196807595
472	0.1961912903
473	0.1956283757
474	0.1951050807
475	0.1947299401
476	0.1941516414
477	0.1936304613
478	0.1932521248
479	0.1927951445
480	0.1923292971
481	0.1916139826
482	0.1911931909
483	0.1904846129
484	0.189958733
485	0.1894392605
486	0.1889399816
487	0.1883242879
488	0.1879133973
489	0.1874011469
490	0.1868800764
491	0.1864078686
492	0.185903044
493	0.1853177738
494	0.1849513122
495	0.1846067362
496	0.1842207233
497	0.1837836232
498	0.1833046163
499	0.1827739582
500	0.1821441964
501	0.1816501813
502	0.1811425211
503	0.1804344757
504	0.1798349024
505	0.1794106485
506	0.1789093958
507	0.1784612354
508	0.177931392
509	0.1773782687
510	0.1769192047
511	0.1766262015
512	0.1762776776
513	0.1757295362
514	0.1752579863
515	0.1749424239
516	0.174509162
517	0.1741678132
518	0.1736751455
519	0.1732742184
520	0.1727677645
521	0.1723779604
522	0.1720788631
523	0.1715928691
524	0.1711120292
525	0.1707288049
526	0.170472006
527	0.1701163384
528	0.1696506947
529	0.1691310655
530	0.1686362829
531	0.168137709
532	0.1676369418
533	0.1670721473
534	0.1666830952
535	0.1661130369
536	0.1657770615
537	0.1653103995
538	0.1648181704
539	0.1643746159
540	0.1640830069
541	0.1638073618
542	0.1634402735
543	0.163183506
544	0.1627588448
545	0.1624035845
546	0.161921789
547	0.1614896708
548	0.1610987544
549	0.1607113785
550	0.1601196226
551	0.159811768
552	0.1594966129
553	0.1590578365
554	0.1587427754
555	0.1583998287
556	0.1579919615
557	0.1575815095
558	0.1569499304
559	0.1565794426
560	0.1561827297
561	0.1558776793
562	0.1555523099
563	0.1551966579
564	0.1547396619
565	0.1542947287
566	0.1540191619
567	0.1537114795
568	0.1531992762
569	0.1528147202
570	0.152485215
571	0.1520222345
572	0.1516123308
573	0.1512187198
574	0.1508321116
575	0.150447446
576	0.1499479635
577	0.149604437
578	0.1493177159
579	0.1489340216
580	0.1484501425
581	0.1481467527
582	0.147764155
583	0.1474805828
584	0.147043937
585	0.1467191003
586	0.1464874456
587	0.1458936844
588	0.1456568285
589	0.1453215111
590	0.1451089221
591	0.1448141642
592	0.1444143182
593	0.143999323
594	0.1435932105
595	0.1432479921
596	0.1429535006
597	0.1426088932
598	0.1422550742
599	0.1418652544
600	0.1414996075
601	0.1412126044
602	0.1408450775
603	0.1405338859
604	0.1401459148
605	0.139810754
606	0.1394519688
607	0.1390453863
608	0.1387261894
609	0.1383539157
610	0.1379995483
611	0.1377184983
612	0.137428879
613	0.1371856313
614	0.1368861267
615	0.1364775076
616	0.136121323
617	0.1357787679
618	0.135401152
619	0.1349635506
620	0.134718846
621	0.1343595595
622	0.134055637
623	0.1336141347
624	0.1333323485
625	0.133065304
626	0.1327308169
627	0.1323175763
628	0.1319691934
629	0.1316875325
630	0.131363667
631	0.1309897327
632	0.1306598045
633	0.1302424593
634	0.1299305706
635	0.1296146244
636	0.1291308707
637	0.1287362336
638	0.1283481214
639	0.1281550836
640	0.1277895072
641	0.1274138966
642	0.1271112665
643	0.1269040274
644	0.1267536093
645	0.1264204852
646	0.1261811462
647	0.1257889609
648	0.1254979864
649	0.1250992291
650	0.1248275788
651	0.1246422018
652	0.1243565225
653	0.1241144733
654	0.1238932756
655	0.1236556521
656	0.1233164809
657	0.1230164044
658	0.1227525872
659	0.1224144812
660	0.1221843226
661	0.1220094732
662	0.121763202
663	0.121454752
664	0.1212712
665	0.1209704264
666	0.1206892511
667	0.1203929423
668	0.120216119
669	0.1197831626
670	0.1194783706
671	0.1191684637
672	0.1187507817
673	0.1184555461
674	0.1181990528
675	0.1180151561
676	0.1177937157
677	0.1173151083
678	0.1170701609
679	0.1167246605
680	0.1164715119
681	0.1162717377
682	0.1159841236
683	0.1157272621
684	0.115515895
685	0.1151936745
686	0.1149896861
687	0.1147043827
688	0.1143690105
689	0.114092911
690	0.1138206498
691	0.1135369914
692	0.1132418654
693	0.1130462819
694	0.1127480227
695	0.1125376582
696	0.1122333519
697	0.1119928771
698	0.1117503344
699	0.1114695821
700	0.1111958639
701	0.110939253
702	0.1107351158
703	0.1105296391
704	0.1102953055
705	0.1101086673
706	0.1099009974
707	0.1096795413
708	0.1094126457
709	0.1090693229
710	0.1088143178
711	0.1085852637
