iter	Passed	Remaining
0	42	42046
1	72	36274
2	103	34506
3	128	32011
4	155	30907
5	182	30193
6	206	29276
7	227	28244
8	249	27450
9	273	27044
10	293	26402
11	316	26062
12	335	25499
13	359	25309
14	387	25418
15	408	25119
16	432	25001
17	451	24629
18	476	24587
19	497	24392
20	519	24226
21	538	23926
22	557	23700
23	578	23520
24	600	23408
25	619	23216
26	640	23072
27	660	22938
28	689	23091
29	711	22998
30	732	22909
31	752	22773
32	772	22643
33	802	22789
34	823	22699
35	844	22622
36	865	22530
37	885	22417
38	906	22345
39	931	22350
40	950	22241
41	975	22257
42	996	22183
43	1016	22079
44	1041	22113
45	1064	22069
46	1086	22030
47	1107	21974
48	1132	21975
49	1167	22178
50	1188	22123
51	1209	22047
52	1229	21965
53	1247	21856
54	1268	21797
55	1287	21711
56	1307	21637
57	1343	21815
58	1364	21761
59	1385	21709
60	1405	21634
61	1428	21605
62	1447	21533
63	1479	21644
64	1502	21613
65	1521	21532
66	1543	21487
67	1560	21392
68	1582	21353
69	1603	21300
70	1620	21208
71	1640	21146
72	1662	21112
73	1680	21023
74	1698	20946
75	1718	20892
76	1739	20851
77	1759	20793
78	1780	20761
79	1799	20695
80	1828	20742
81	1847	20686
82	1867	20634
83	1885	20563
84	1904	20498
85	1923	20438
86	1944	20407
87	1968	20402
88	2038	20869
89	2114	21381
90	2197	21952
91	2270	22410
92	2339	22815
93	2415	23276
94	2499	23815
95	2575	24255
96	2671	24867
97	2744	25261
98	2812	25596
99	2890	26014
100	2968	26422
101	3038	26752
102	3105	27046
103	3197	27550
104	3265	27837
105	3347	28228
106	3438	28694
107	3515	29033
108	3616	29560
109	3697	29917
110	3780	30279
111	3855	30569
112	3935	30890
113	4008	31156
114	4080	31399
115	4196	31976
116	4277	32284
117	4354	32547
118	4435	32836
119	4508	33065
120	4587	33327
121	4712	33917
122	4790	34157
123	4877	34458
124	5020	35140
125	5069	35165
126	5094	35016
127	5119	34873
128	5143	34730
129	5171	34612
130	5197	34480
131	5225	34359
132	5246	34201
133	5269	34055
134	5290	33896
135	5319	33795
136	5340	33640
137	5361	33489
138	5391	33393
139	5411	33242
140	5435	33111
141	5456	32969
142	5481	32847
143	5504	32719
144	5522	32563
145	5543	32428
146	5562	32278
147	5582	32136
148	5602	31996
149	5623	31868
150	5644	31734
151	5665	31606
152	5685	31476
153	5707	31352
154	5728	31229
155	5754	31130
156	5776	31015
157	5797	30894
158	5817	30771
159	5841	30669
160	5864	30561
161	5885	30445
162	5908	30340
163	5930	30231
164	5950	30113
165	5969	29991
166	5991	29886
167	6012	29777
168	6033	29665
169	6057	29576
170	6083	29491
171	6104	29389
172	6126	29285
173	6147	29184
174	6168	29077
175	6190	28980
176	6209	28870
177	6228	28764
178	6249	28665
179	6269	28559
180	6301	28514
181	6323	28421
182	6353	28366
183	6375	28273
184	6394	28170
185	6416	28079
186	6436	27984
187	6457	27891
188	6476	27792
189	6496	27696
190	6517	27604
191	6537	27513
192	6559	27427
193	6583	27354
194	6614	27304
195	6636	27221
196	6663	27160
197	6684	27075
198	6710	27009
199	6739	26959
200	6760	26871
201	6781	26792
202	6801	26704
203	6838	26682
204	6856	26590
205	6874	26498
206	6899	26432
207	6922	26358
208	6947	26293
209	6966	26207
210	6985	26121
211	7003	26032
212	7023	25949
213	7043	25868
214	7062	25786
215	7080	25701
216	7109	25653
217	7129	25575
218	7151	25505
219	7170	25421
220	7189	25342
221	7226	25325
222	7244	25242
223	7266	25171
224	7284	25092
225	7304	25017
226	7326	24949
227	7345	24871
228	7368	24808
229	7387	24731
230	7410	24669
231	7432	24603
232	7451	24527
233	7469	24452
234	7487	24374
235	7505	24296
236	7524	24223
237	7543	24152
238	7574	24116
239	7598	24060
240	7617	23988
241	7635	23917
242	7661	23867
243	7694	23841
244	7715	23777
245	7734	23705
246	7756	23645
247	7775	23578
248	7796	23514
249	7825	23475
250	7843	23404
251	7867	23351
252	7892	23302
253	7910	23233
254	7929	23165
255	7949	23103
256	7972	23049
257	7999	23005
258	8020	22945
259	8039	22882
260	8058	22817
261	8080	22761
262	8099	22697
263	8117	22630
264	8135	22564
265	8156	22505
266	8177	22449
267	8199	22395
268	8226	22356
269	8260	22333
270	8277	22267
271	8295	22202
272	8313	22139
273	8331	22074
274	8350	22015
275	8371	21960
276	8393	21908
277	8420	21868
278	8439	21809
279	8459	21751
280	8478	21695
281	8511	21671
282	8573	21721
283	8599	21681
284	8621	21628
285	8651	21599
286	8681	21566
287	8698	21505
288	8719	21450
289	8754	21432
290	8774	21377
291	8795	21326
292	8815	21272
293	8834	21214
294	8856	21165
295	8874	21107
296	8894	21052
297	8912	20995
298	8933	20943
299	8952	20888
300	8978	20851
301	8997	20796
302	9016	20741
303	9043	20705
304	9063	20652
305	9087	20609
306	9110	20566
307	9130	20513
308	9151	20464
309	9170	20412
310	9189	20358
311	9207	20302
312	9228	20256
313	9249	20207
314	9271	20161
315	9298	20126
316	9320	20082
